Price,Open,Close,High,Volume
Ticker,NVDA,NVDA,NVDA,NVDA
Date,,,,
2020-06-09,8.77,9.01,9.07,468488000.0
2020-06-08,8.84,8.77,8.86,387736000.0
2020-06-05,8.76,8.89,8.96,481748000.0
2020-06-04,8.69,8.73,8.91,424280000.0
2020-06-03,8.78,8.73,8.83,365440000.0
2020-06-02,8.76,8.79,8.8,391320000.0
2020-06-01,8.8,8.77,8.8,389876000.0
2020-05-29,8.52,8.84,8.84,745256000.0
2020-05-28,8.38,8.45,8.72,734896000.0
2020-05-27,8.59,8.49,8.6,1175892000.0
2020-05-26,9.12,8.68,9.14,770780000.0
2020-05-22,8.79,8.99,9.05,1038764000.0
2020-05-21,9.01,8.74,9.01,761068000.0
2020-05-20,8.95,8.93,9.0,587536000.0
2020-05-19,8.75,8.77,9.05,717320000.0
2020-05-18,8.72,8.71,8.88,774460000.0
2020-05-15,7.86,8.45,8.46,987660000.0
2020-05-14,7.81,8.0,8.0,602312000.0
2020-05-13,7.88,7.75,8.04,625852000.0
2020-05-12,8.09,7.77,8.14,493060000.0
2020-05-11,7.77,8.03,8.08,469060000.0
2020-05-08,7.66,7.78,7.78,339216000.0
2020-05-07,7.55,7.59,7.65,373732000.0
2020-05-06,7.39,7.41,7.52,323464000.0
2020-05-05,7.35,7.31,7.47,368896000.0
2020-05-04,6.99,7.25,7.26,317556000.0
2020-05-01,7.08,7.04,7.19,342096000.0
2020-04-30,7.37,7.27,7.43,375916000.0
2020-04-29,7.39,7.43,7.48,379160000.0
2020-04-28,7.54,7.25,7.57,442904000.0
2020-04-27,7.34,7.39,7.55,479388000.0
2020-04-24,7.06,7.21,7.21,352328000.0
2020-04-23,7.16,7.07,7.3,424160000.0
2020-04-22,6.9,7.12,7.16,483356000.0
2020-04-21,7.03,6.71,7.09,735160000.0
2020-04-20,7.15,7.14,7.31,449388000.0
2020-04-17,7.42,7.28,7.44,539120000.0
2020-04-16,7.15,7.33,7.44,745620000.0
2020-04-15,6.9,6.99,7.07,366148000.0
2020-04-14,6.84,7.07,7.1,530948000.0
2020-04-13,6.48,6.72,6.72,398408000.0
2020-04-09,6.77,6.54,6.79,525564000.0
2020-04-08,6.56,6.64,6.67,542444000.0
2020-04-07,6.9,6.45,6.93,784520000.0
2020-04-06,6.35,6.68,6.72,727884000.0
2020-04-03,6.32,6.07,6.36,663212000.0
2020-04-02,6.08,6.36,6.37,675764000.0
2020-04-01,6.36,6.05,6.51,656912000.0
2020-03-31,6.65,6.56,6.85,949960000.0
2020-03-30,6.36,6.61,6.62,602252000.0
2020-03-27,6.22,6.29,6.55,638828000.0
2020-03-26,6.32,6.4,6.53,696108000.0
2020-03-25,6.32,6.11,6.52,793432000.0
2020-03-24,5.7,6.2,6.29,1101644000.0
2020-03-23,5.12,5.29,5.39,643876000.0
2020-03-20,5.45,5.12,5.73,804636000.0
2020-03-19,5.03,5.3,5.39,765512000.0
2020-03-18,4.98,5.05,5.22,874268000.0
2020-03-17,5.0,5.41,5.5,833632000.0
2020-03-16,5.29,4.89,5.63,726972000.0
2020-03-13,5.74,5.99,6.0,634836000.0
2020-03-12,5.61,5.38,5.88,816540000.0
2020-03-11,6.36,6.13,6.39,499964000.0
2020-03-10,6.38,6.5,6.5,580648000.0
2020-03-09,5.97,6.11,6.46,614160000.0
2020-03-06,6.62,6.62,6.68,515412000.0
2020-03-05,6.88,6.8,7.05,540328000.0
2020-03-04,6.72,7.08,7.09,597408000.0
2020-03-03,6.94,6.62,7.0,652792000.0
2020-03-02,6.89,6.88,6.91,890744000.0
2020-02-28,6.03,6.72,6.78,1133252000.0
2020-02-27,6.34,6.29,6.65,906416000.0
2020-02-26,6.52,6.66,6.85,747732000.0
2020-02-25,6.87,6.52,6.93,1055496000.0
2020-02-24,6.72,6.8,7.01,856916000.0
2020-02-21,7.57,7.31,7.59,768180000.0
2020-02-20,7.78,7.68,7.87,810052000.0
2020-02-19,7.5,7.83,7.85,694332000.0
2020-02-18,7.11,7.38,7.4,620164000.0
2020-02-14,7.15,7.21,7.34,1041924000.0
2020-02-13,6.72,6.74,6.8,528016000.0
2020-02-12,6.72,6.78,6.79,374644000.0
2020-02-11,6.65,6.66,6.78,638556000.0
2020-02-10,6.28,6.54,6.54,529608000.0
2020-02-07,6.28,6.26,6.31,189752000.0
2020-02-06,6.27,6.32,6.32,218284000.0
2020-02-05,6.27,6.24,6.28,208220000.0
2020-02-04,6.12,6.15,6.17,271544000.0
2020-02-03,5.86,5.98,6.0,255564000.0
2020-01-31,6.07,5.88,6.08,370420000.0
2020-01-30,6.01,6.11,6.13,290504000.0
2020-01-29,6.15,6.11,6.19,258848000.0
2020-01-28,6.04,6.17,6.2,310976000.0
2020-01-27,5.93,5.97,6.02,470536000.0
2020-01-24,6.4,6.23,6.45,373512000.0
2020-01-23,6.26,6.29,6.3,244516000.0
2020-01-22,6.21,6.22,6.31,239240000.0
2020-01-21,6.16,6.17,6.2,217916000.0
2020-01-17,6.21,6.2,6.22,253792000.0
2020-01-16,6.16,6.19,6.2,284192000.0
2020-01-15,6.16,6.11,6.19,263104000.0
2020-01-14,6.22,6.15,6.25,359088000.0
2020-01-13,6.16,6.27,6.29,319840000.0
2020-01-10,6.15,6.08,6.18,316296000.0
2020-01-09,6.06,6.04,6.12,255112000.0
2020-01-08,5.96,5.98,6.02,277108000.0
2020-01-07,5.92,5.97,6.01,314856000.0
2020-01-06,5.78,5.9,5.9,262636000.0
2020-01-03,5.85,5.87,5.91,205384000.0
2020-01-02,5.94,5.97,5.97,237536000.0
2019-12-31,5.74,5.85,5.86,231004000.0
2019-12-30,5.87,5.78,5.87,258056000.0
2019-12-27,5.96,5.89,5.98,254644000.0
2019-12-26,5.94,5.95,5.98,182852000.0
2019-12-24,5.92,5.93,5.95,138864000.0
2019-12-23,5.98,5.94,6.01,355060000.0
2019-12-20,5.92,5.95,5.98,603044000.0
2019-12-19,5.74,5.86,5.87,445360000.0
2019-12-18,5.71,5.71,5.77,343548000.0
2019-12-17,5.62,5.68,5.7,321196000.0
2019-12-16,5.62,5.6,5.67,320976000.0
2019-12-13,5.58,5.57,5.69,454704000.0
2019-12-12,5.38,5.57,5.59,404348000.0
2019-12-11,5.33,5.4,5.41,233796000.0
2019-12-10,5.31,5.32,5.37,256388000.0
2019-12-09,5.25,5.28,5.33,211880000.0
2019-12-06,5.26,5.28,5.31,232236000.0
2019-12-05,5.23,5.19,5.25,184884000.0
2019-12-04,5.25,5.21,5.27,273424000.0
2019-12-03,5.02,5.16,5.17,465232000.0
2019-12-02,5.38,5.2,5.4,372036000.0
2019-11-29,5.4,5.39,5.42,141556000.0
2019-11-27,5.44,5.43,5.47,215784000.0
2019-11-26,5.48,5.39,5.48,385244000.0
2019-11-25,5.37,5.5,5.5,506476000.0
2019-11-22,5.25,5.24,5.29,224100000.0
2019-11-21,5.24,5.22,5.3,288388000.0
2019-11-20,5.15,5.25,5.33,472588000.0
2019-11-19,5.24,5.17,5.27,414564000.0
2019-11-18,5.07,5.28,5.3,574588000.0
2019-11-15,5.21,5.07,5.26,1053628000.0
2019-11-14,5.19,5.21,5.22,518080000.0
2019-11-13,5.18,5.18,5.2,300188000.0
2019-11-12,5.21,5.21,5.26,283504000.0
2019-11-11,5.16,5.17,5.2,243436000.0
2019-11-08,5.16,5.16,5.19,189100000.0
2019-11-07,5.25,5.18,5.26,280340000.0
2019-11-06,5.18,5.16,5.21,269012000.0
2019-11-05,5.23,5.21,5.26,300868000.0
2019-11-04,5.12,5.23,5.24,376716000.0
2019-11-01,4.96,5.03,5.07,283640000.0
2019-10-31,5.02,5.0,5.04,209732000.0
2019-10-30,5.07,5.04,5.07,205960000.0
2019-10-29,5.12,5.04,5.13,211236000.0
2019-10-28,5.13,5.14,5.19,330792000.0
2019-10-25,4.97,5.08,5.1,423092000.0
2019-10-24,4.89,4.89,4.93,232020000.0
2019-10-23,4.78,4.85,4.86,279916000.0
2019-10-22,4.93,4.86,5.03,328720000.0
2019-10-21,4.79,4.87,4.88,261868000.0
2019-10-18,4.83,4.73,4.86,307440000.0
2019-10-17,4.87,4.83,4.92,263436000.0
2019-10-16,4.85,4.83,4.95,428944000.0
2019-10-15,4.72,4.88,4.95,664124000.0
2019-10-14,4.61,4.63,4.66,200040000.0
2019-10-11,4.63,4.62,4.7,446404000.0
2019-10-10,4.49,4.55,4.6,309124000.0
2019-10-09,4.48,4.49,4.54,292412000.0
